act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,quantile_95_act_travelling_time,quantile_90_act_travelling_time,quantile_95_act_occupied_time,quantile_90_act_occupied_time,quantile_85_act_travelling_time
2019-12-26 11:02:55.821,TIK,7103,GC12,2019-12-26 11:03:21.123,25.302,14.0,False,False,False,False,False,False
2019-12-26 11:02:56.418,SKM,15,GC21,2019-12-26 11:03:20.125,23.707,12.0,False,False,False,False,False,False
2019-12-26 11:02:56.817,LOF,01,GC20,2019-12-26 11:03:12.157,15.34,6.0,False,False,False,False,False,False
2019-12-26 11:02:57.979,KWT,6001,GC15,2019-12-26 11:03:21.268,23.289,7.0,False,False,False,False,False,False
2019-12-26 11:02:57.980,KWT,6015,GC14,2019-12-26 11:03:22.118,24.138,10.0,False,False,False,False,False,False
2019-12-26 11:02:58.410,YMT,37,GC23,2019-12-26 11:03:18.731,20.321,6.0,False,False,False,False,False,False
2019-12-26 11:02:58.809,SKM,20,QC01,2019-12-26 11:03:25.106,26.297,12.0,False,False,False,False,False,False
2019-12-26 11:02:59.008,KOB,03,GC17,2019-12-26 11:03:19.727,20.719,8.0,False,False,False,False,False,False
2019-12-26 11:02:59.805,WTS,03,GC19,2019-12-26 11:03:25.504,25.699,6.0,False,False,False,False,False,False
2019-12-26 11:03:00.004,CHH,03,GC18,2019-12-26 11:03:19.727,19.723,6.0,False,False,False,False,False,False
2019-12-26 11:03:00.403,WHA,04,GC25,2019-12-26 11:03:31.481,31.078,12.0,False,False,False,False,False,False
2019-12-26 11:03:01.000,NTK,07,GC16,2019-12-26 11:03:27.497,26.497,10.0,False,False,False,False,False,False
2019-12-26 11:03:01.797,YMT,44,QC27,2019-12-26 11:03:25.504,23.707,13.0,False,False,False,False,False,False
2019-12-26 11:03:01.996,KOT,14,RC02,2019-12-26 11:03:23.115,21.119,9.0,False,False,False,False,False,False
2019-12-26 11:03:01.996,CHH,04,RC06,2019-12-26 11:03:24.508,22.512,12.0,False,False,False,False,False,False
2019-12-26 11:03:01.997,NTK,12,QC07,2019-12-26 11:03:18.731,16.734,4.0,False,False,False,False,False,False
2019-12-26 11:03:02.993,LOF,03,GC20,2019-12-26 11:03:19.727,16.734,5.0,False,False,False,False,False,False
2019-12-26 11:03:04.586,YAT,7008,RC10,2019-12-26 11:03:29.091,24.505,6.0,False,False,False,False,False,False
2019-12-26 11:03:05.184,YMT,39,GC23,2019-12-26 11:03:25.504,20.32,8.0,False,False,False,False,False,False
2019-12-26 11:03:05.549,KWT,6003,GC15,2019-12-26 11:03:26.700,21.151,5.0,False,False,False,False,False,False
2019-12-26 11:03:05.981,WTS,05,GC19,2019-12-26 11:04:22.084,76.103,61.0,True,False,False,False,False,False
2019-12-26 11:03:06.180,NTK,14,QC07,2019-12-26 11:03:25.504,19.324,7.0,False,False,False,False,False,False
2019-12-26 11:03:06.180,CHH,05,GC18,2019-12-26 11:03:26.501,20.321,7.0,False,False,False,False,False,False
2019-12-26 11:03:07.973,KOB,05,GC17,2019-12-26 11:03:30.684,22.711,11.0,False,False,False,False,False,False
2019-12-26 11:03:08.693,LOF,05,GC20,2019-12-26 11:03:33.075,24.382,7.0,False,False,False,False,False,False
2019-12-26 11:03:08.694,LAT,6101,GC14,2019-12-26 11:03:24.110,15.416,5.0,False,False,False,False,False,False
2019-12-26 11:03:08.770,LAT,6108,QC09,2019-12-26 11:03:43.114,34.344,7.0,False,False,False,False,False,False
2019-12-26 11:03:09.368,SKM,17,GC21,2019-12-26 11:03:28.094,18.726,10.0,False,False,False,False,False,False
