act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,incident,incident_5_minutes
2019-11-19 05:22:51.700,KWT,6015,HT85,2019-11-19 05:23:15.805,24.105,15.0,False,False,False
2019-11-19 05:22:55.883,KOB,10,ET80,2019-11-19 05:23:46.086,50.203,38.0,True,False,False
2019-11-19 05:22:58.075,SKM,11,KT83,2019-11-19 05:23:10.227,12.152,7.0,False,False,False
2019-11-19 05:23:06.043,SKM,13,KT83,2019-11-19 05:23:32.141,26.09800000000001,22.0,True,False,False
2019-11-19 05:23:07.637,LAT,6101,HT85,2019-11-19 05:23:22.379,14.742,9.0,False,False,False
2019-11-19 05:23:10.227,CHH,02,KS67,2019-11-19 05:24:24.734,74.507,40.0,False,False,False
2019-11-19 05:23:16.801,LAT,6103,HT85,2019-11-19 05:25:08.362,111.561,18.0,False,False,False
2019-11-19 05:23:28.953,SKM,15,KT83,2019-11-19 05:23:47.082,18.129,14.0,False,False,False
2019-11-19 05:23:34.332,KOB,12,ET80,2019-11-19 05:24:18.757,44.425,40.0,False,False,False
2019-11-19 05:23:35.727,LAT,6105,HT85,2019-11-19 05:26:28.447,172.72,159.0,True,False,False
2019-11-19 05:23:43.695,SKM,17,KT83,2019-11-19 05:24:03.617,19.922,17.0,False,False,False
2019-11-19 05:23:50.469,CHH,04,KS67,2019-11-19 05:24:58.600,68.131,52.0,False,False,False
2019-11-19 05:24:01.425,SKM,19,KT83,2019-11-19 05:24:17.761,16.336,12.0,False,False,False
2019-11-19 05:24:14.175,SKM,21,KT83,2019-11-19 05:24:30.710,16.535,13.0,False,False,False
2019-11-19 05:24:15.171,KOB,14,ET80,2019-11-19 05:26:10.119,114.948,110.0,False,False,False
2019-11-19 05:24:28.120,KOT,01,KT83,2019-11-19 05:24:43.659,15.539,12.0,False,False,False
2019-11-19 05:24:41.069,KOT,03,KT83,2019-11-19 05:24:57.206,16.137,12.0,False,False,False
2019-11-19 05:24:43.062,CHH,06,KS67,2019-11-19 05:25:10.753,27.691,11.0,False,False,False
2019-11-19 05:24:53.819,KOT,05,KT83,2019-11-19 05:25:10.753,16.934,13.0,False,False,False
2019-11-19 05:24:54.815,CHH,08,KS67,2019-11-19 05:25:22.111,27.296,5.0,False,False,False
2019-11-19 05:25:00.393,CHH,10,KS67,2019-11-19 05:28:22.598,202.205,185.0,True,False,False
2019-11-19 05:25:06.968,KOT,07,KT83,2019-11-19 05:25:23.702,16.734,13.0,False,False,False
2019-11-19 05:25:20.713,KOT,09,KT83,2019-11-19 05:25:44.619,23.906,20.0,True,False,False
2019-11-19 05:25:41.432,KOT,11,KT83,2019-11-19 05:26:00.756,19.324,16.0,False,False,False
2019-11-19 05:25:58.365,KOT,13,KT83,2019-11-19 05:26:15.099,16.734,14.0,False,False,False
2019-11-19 05:26:05.338,KOB,16,ET80,2019-11-19 05:26:55.142,49.804,22.0,False,False,False
2019-11-19 05:26:12.510,KOT,15,KT83,2019-11-19 05:26:29.066,16.555999999999994,13.0,False,False,False
2019-11-19 05:26:15.697,LAT,6103,HT85,2019-11-19 05:26:58.329,42.632,34.0,False,False,False
2019-11-19 05:26:25.857,LOF,01,KT83,2019-11-19 05:26:42.591,16.734,14.0,False,False,False
2019-11-19 05:26:28.248,CHH,02,ET80,2019-11-19 05:29:12.203,163.955,124.0,False,False,False
2019-11-19 05:26:40.001,LOF,03,KT83,2019-11-19 05:26:56.138,16.137,12.0,False,False,False
2019-11-19 05:26:49.763,LAT,6101,HT85,2019-11-19 05:27:09.485,19.722,13.0,False,False,False
2019-11-19 05:26:52.751,LOF,05,KT83,2019-11-19 05:27:10.681,17.93,14.0,False,False,False
2019-11-19 05:27:02.911,KWT,6015,HT85,2019-11-19 05:27:38.173,35.262,22.0,False,False,False
2019-11-19 05:27:07.095,LOF,07,KT83,2019-11-19 05:27:24.626,17.531,14.0,False,False,False
2019-11-19 05:27:21.837,LOF,09,KT83,2019-11-19 05:27:41.161,19.324,16.0,True,False,False
2019-11-19 05:27:25.423,KWT,6046,HT85,2019-11-19 05:27:43.064,17.641,5.0,False,False,False
2019-11-19 05:27:31.399,KWT,6044,HT85,2019-11-19 05:28:19.609,48.21,34.0,False,False,False
2019-11-19 05:27:38.571,LOF,11,KT83,2019-11-19 05:27:59.688,21.117,18.0,False,False,False
2019-11-19 05:27:56.899,LOF,13,KT83,2019-11-19 05:28:17.219,20.32,16.0,False,False,False
2019-11-19 05:28:05.664,KWT,6042,HT85,2019-11-19 05:28:26.582,20.918000000000006,9.0,False,False,False
2019-11-19 05:28:05.664,CHH,08,KS67,2019-11-19 05:28:29.172,23.508000000000006,8.0,False,False,False
2019-11-19 05:28:13.832,WTS,01,KT83,2019-11-19 05:28:34.619,20.787,18.0,False,False,False
2019-11-19 05:28:13.832,CHH,36,KS67,2019-11-19 05:28:36.633,22.801,6.0,False,False,False
2019-11-19 05:28:14.828,KWT,6010,HT85,2019-11-19 05:28:41.922,27.094,14.0,False,False,False
2019-11-19 05:28:20.406,CHH,34,KS67,2019-11-19 05:28:45.109,24.703000000000007,6.0,False,False,False
2019-11-19 05:28:26.781,CHH,32,KS67,2019-11-19 05:29:05.125,38.344,18.0,False,False,False
2019-11-19 05:28:29.371,KWT,6008,HT85,2019-11-19 05:29:17.581,48.21,39.0,True,False,False
2019-11-19 05:28:32.559,WTS,03,KT83,2019-11-19 05:28:49.691,17.132,13.0,False,False,False
2019-11-19 05:28:32.957,CHH,04,ET80,2019-11-19 05:29:42.683,69.726,64.0,False,False,False
2019-11-19 05:28:45.707,CHH,30,KS67,2019-11-19 05:29:13.597,27.89,9.0,False,False,False
2019-11-19 05:28:46.105,WTS,05,KT83,2019-11-19 05:29:09.613,23.508000000000006,20.0,True,False,False
2019-11-19 05:28:55.463,CHH,28,KS67,2019-11-19 05:30:23.124,87.661,,False,False,False
2019-11-19 05:29:06.226,WTS,07,KT83,2019-11-19 05:29:25.749,19.523,17.0,False,False,False
2019-11-19 05:29:08.417,KWT,6006,HT85,2019-11-19 05:29:29.335,20.918000000000006,10.0,False,False,False
2019-11-19 05:29:18.577,KWT,6004,HT85,2019-11-19 05:29:39.097,20.52,11.0,False,False,False
2019-11-19 05:29:23.757,WTS,09,KT83,2019-11-19 05:29:42.683,18.926,15.0,False,False,False
2019-11-19 05:29:30.331,KWT,6002,HT85,2019-11-19 05:29:56.628,26.297,19.0,False,False,False
