act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,arr_time,dep_time,arr_delay,dep_delay,incident,destination_code_train,timetable_code_train,number_train,quantile,fault_description,fault_classification,propagated,act_travelling_time_quantile,act_occupied_time_quantile
2019-11-19 00:01:19.036,MOK,41,KS98,2019-11-19 00:01:31.004,11.968,7.0,False,,,-49.739000000000004,-20.132,False,K,S,98,0,,,True,0,0
2019-11-19 00:01:20.629,YMT,31,GA12,2019-11-19 00:01:46.528,25.899,12.0,False,,,-50.296285714285716,-20.490000000000002,False,G,A,12,0,,,True,0,0
2019-11-19 00:01:26.805,MOK,43,KS98,2019-11-19 00:01:37.961,11.156,6.0,False,,,-50.85357142857143,-20.848000000000003,False,K,S,98,0,,,True,0,0
2019-11-19 00:01:28.598,YAT,7006C,HA46,2019-11-19 00:01:47.524,18.926,7.0,False,,,-51.41085714285714,-21.206000000000003,False,H,A,46,0,,,True,0,0
2019-11-19 00:01:33.180,MOK,45,KS98,2019-11-19 00:01:50.313,17.133,13.0,False,,,-51.96814285714286,-21.564,False,K,S,98,0,,,True,0,0
2019-11-19 00:01:33.180,YMT,33,GA12,2019-11-19 00:01:56.489,23.309,5.0,False,,,-52.52542857142858,-21.922000000000004,False,G,A,12,0,,,True,0,0
2019-11-19 00:01:35.770,YAT,7006B,HA46,2019-11-19 00:01:52.504,16.734,3.0,False,,,-53.08271428571429,-22.28,False,H,A,46,0,,,True,0,0
2019-11-19 00:01:38.360,YMT,35,GA12,2019-11-19 00:02:29.362,51.002,31.0,True,2019-11-19 00:02:32.000,2019-11-19 00:02:52.000,-53.64,-22.638,False,G,A,12,0,,,True,0,0
2019-11-19 00:01:39.754,YAT,7006A,HA46,2019-11-19 00:01:58.481,18.727,9.0,True,,,-54.1093497382199,-23.11624083769634,False,H,A,46,0,,,True,0,0
2019-11-19 00:01:47.125,PRE,47,KS98,2019-11-19 00:02:04.856,17.730999999999995,14.0,True,,,-54.578699476439795,-23.59448167539267,False,K,S,98,0,,,True,0,0
2019-11-19 00:01:49.117,YAT,7004,HA46,2019-11-19 00:02:02.465,13.348,0.0,False,,,-55.048049214659684,-24.07272251308901,False,H,A,46,0,,,True,0,0
2019-11-19 00:01:50.114,YAT,7002,HA46,2019-11-19 00:02:12.625,22.511,11.0,False,,,-55.51739895287958,-24.55096335078534,False,H,A,46,0,,,True,0,0
2019-11-19 00:02:01.867,LAT,6112,HA46,2019-11-19 00:02:57.449,55.582,35.0,False,,,-55.98674869109948,-25.02920418848168,False,H,A,46,0,,,True,0,0
2019-11-19 00:02:01.867,SKM,01,KS98,2019-11-19 00:02:13.422,11.555,9.0,False,,,-56.456098429319375,-25.50744502617801,False,K,S,98,0,,,True,0,0
2019-11-19 00:02:09.836,YMT,37,GA12,2019-11-19 00:02:33.543,23.707,7.0,False,,,-56.925448167539265,-25.985685863874348,False,G,A,12,0,,,True,0,0
2019-11-19 00:02:11.031,SKM,03,KS98,2019-11-19 00:02:22.405,11.374,8.0,False,,,-57.39479790575916,-26.46392670157068,False,K,S,98,0,,,True,0,0
