station,day_in_week,hour_in_day,mean,st_dev,no_of_entries
MOK,6,12,67.95501708984375,6.812503638343102,4
MOK,6,20,76.11244201660156,11.928115844726562,2
MOK,6,11,102.6812973022461,19.295426045385916,4
MOK,6,7,69.88348388671875,3.22418212890625,2
MOK,6,6,60.3052978515625,0.0,1
MOK,6,9,73.68701171875,0.0,1
MOK,6,16,106.5791015625,0.0,1
MOK,6,19,63.02642822265625,1.84600830078125,2
MOK,6,18,72.75933837890625,0.24859619140625,2
MOK,1,7,71.55561174665179,9.780272700484929,7
MOK,1,8,79.367919921875,11.8828125,2
MOK,1,10,105.194677734375,49.06833228479948,10
MOK,1,9,156.97858276367188,40.99333782969556,10
MOK,1,11,78.8308837890625,9.454164159551983,5
MOK,1,15,103.66099330357143,13.576897180664165,7
MOK,1,17,69.755615234375,5.074461747739001,5
MOK,1,19,101.35135269165039,20.230779761120825,8
MOK,1,13,103.65225774591619,19.845585837622085,11
MOK,1,14,97.78727213541667,27.84790420516965,9
MOK,1,12,120.0060546875,34.49957682617978,10
MOK,1,20,92.97586398654514,20.86364004183101,9
MOK,1,16,61.5997314453125,0.0,1
MOK,1,18,67.81578572591145,1.4907893543446042,3
MOK,1,23,121.27392578125,80.36454553508467,3
MOK,1,22,144.44852701822916,78.78523081400245,6
MOK,1,21,98.67201741536458,20.035044267714728,6
MOK,1,6,150.6599349975586,68.51380456561867,4
MOK,2,14,84.44903945922852,16.93714983014736,8
MOK,2,15,102.90944925944011,24.86630270981884,18
MOK,2,16,105.99400329589844,36.19966334564248,14
MOK,2,20,97.4417724609375,30.899626535766554,6
MOK,2,6,113.08896706321023,47.369051480740126,11
MOK,2,18,105.22997436523437,37.42250850818392,5
MOK,2,17,122.01178213266226,48.08062999928616,13
MOK,2,19,134.60300827026367,52.396483897398376,8
MOK,2,21,124.54563249860492,72.91926008228755,7
MOK,2,22,75.20831298828125,9.52984619140625,2
MOK,2,11,61.371826171875,0.0,1
MOK,2,8,79.5032958984375,9.2041015625,2
MOK,2,10,61.65234375,0.0,1
MOK,2,7,61.4656982421875,0.0,1
MOK,3,13,122.94033813476562,46.575877251409686,17
MOK,3,22,106.3646741594587,35.98656761315382,14
MOK,3,6,117.38582356770833,65.84458780548631,6
MOK,3,12,88.00158255440849,27.057279255756686,7
MOK,3,16,78.83112127130681,15.492163898837022,11
MOK,3,17,71.19039481026786,12.358342231719446,7
MOK,3,18,85.30732844426082,16.488368680753847,13
MOK,3,10,97.01731872558594,33.998962923516316,14
MOK,3,19,87.118564453125,20.639572170868988,25
MOK,3,11,70.72030639648438,9.279781859562144,16
MOK,3,21,72.03447723388672,9.414422918093509,4
MOK,3,14,68.5232177734375,6.960540282521796,5
MOK,3,20,86.28518295288086,23.26415223142644,16
MOK,3,15,87.28128814697266,10.569273129148876,4
MOK,3,23,74.0235595703125,9.093017578125,2
MOK,3,8,74.7149658203125,9.232028599069634,3
MOK,3,7,75.65277099609375,9.253126875320424,12
MOK,3,9,73.69517869215746,7.284181524710192,13
MOK,4,8,79.93051486545139,11.880366251549379,9
MOK,4,10,92.62052612304687,27.527875119679713,15
MOK,4,15,76.23370971679688,10.023238513793249,5
MOK,4,9,104.39701334635417,25.3855048893875,6
MOK,4,11,101.0738525390625,36.47672561978025,10
MOK,4,18,78.93813254616477,8.017461681704065,11
MOK,4,21,66.54016985212054,4.722829650362488,7
MOK,4,6,111.17472330729167,28.863529137200445,3
MOK,4,20,78.48803274972099,19.232671245287566,7
MOK,4,13,84.453369140625,18.610107421875,2
MOK,4,16,72.5487060546875,7.5140380859375,2
MOK,4,17,87.95169067382812,22.007044034197875,4
MOK,4,7,105.98334394182477,30.708154027551288,7
MOK,4,22,92.80220794677734,18.36417198249051,4
MOK,4,19,178.695556640625,111.7850341796875,2
MOK,4,23,144.0386962890625,0.0,1
MOK,5,22,78.312744140625,10.3389892578125,2
MOK,5,18,72.10064697265625,9.362800398603573,4
MOK,5,10,66.61771647135417,2.7792790003440273,3
MOK,5,13,64.88165283203125,4.82098388671875,2
MOK,5,19,82.87818400065105,11.35383818344274,3
MOK,5,20,80.13836330837674,16.191270793248258,9
