day_in_week,hour_in_day,mean,st_dev,no_of_entries
2.0,17.0,108.16806867045742,38.182330125929525,124.0
2.0,19.0,131.55468722256748,49.738942881983036,110.0
2.0,20.0,98.68127726460551,37.03851865759523,91.0
2.0,13.0,64.79296875,3.112383380745268,3.0
2.0,21.0,122.2437255859375,64.21342630563846,95.0
2.0,7.0,77.01563054865056,16.008260871360886,33.0
2.0,11.0,65.52400716145833,3.612372120533807,6.0
2.0,12.0,64.5723876953125,0.0,1.0
2.0,8.0,94.77024201423892,29.116168496216,31.0
2.0,9.0,71.053173828125,7.394644868907812,5.0
2.0,22.0,85.91923043387277,11.304355254411757,35.0
2.0,10.0,69.40941365559895,8.216064770241218,15.0
3.0,10.0,101.6847811612216,42.29785694268732,165.0
3.0,12.0,96.3075762836873,31.103787986210293,119.0
3.0,13.0,125.21990182235656,47.04091102916257,247.0
3.0,14.0,76.1090908879819,11.96424043827088,92.0
3.0,19.0,89.72372092294819,28.99200951119829,379.0
3.0,22.0,100.35782505915715,36.54602683265186,156.0
3.0,6.0,116.31099536602314,57.21753947787841,130.0
3.0,15.0,74.69854921283144,11.306446464729168,66.0
3.0,16.0,81.67190164233011,15.20456209546104,126.0
3.0,17.0,73.17189354232595,13.237666671622016,79.0
3.0,18.0,86.7090025658701,20.674257414760184,255.0
3.0,20.0,88.03900349140167,23.614251285642162,128.0
3.0,21.0,73.78336646908619,13.029066779247145,61.0
3.0,11.0,74.54955367459596,14.24503274004907,131.0
3.0,7.0,82.68178646121405,37.694355501529,113.0
3.0,23.0,69.29716796875,6.083932364399163,10.0
3.0,8.0,107.24488494593069,42.85154040098621,218.0
3.0,9.0,79.10354115273715,16.585354630393297,211.0
4.0,8.0,78.97173449457908,14.995504014712784,98.0
4.0,10.0,89.66801859920186,25.837486759403273,133.0
4.0,11.0,99.37155741373698,30.30252441211833,150.0
4.0,17.0,78.71985473632813,21.974940993856958,70.0
4.0,18.0,83.08937666151259,17.798779139355094,99.0
4.0,19.0,108.4909647948353,58.73918710275651,141.0
4.0,20.0,78.55314025878906,15.567989037428603,95.0
4.0,21.0,100.46650242161107,56.95124659467817,37.0
4.0,22.0,79.51248690956517,12.74891646608174,38.0
4.0,6.0,110.11040016456887,36.4312126227771,54.0
4.0,7.0,108.68974646674262,34.41604822306639,225.0
4.0,15.0,78.5371545998447,11.038035074131942,83.0
4.0,9.0,88.11948181152344,28.638631699152704,100.0
4.0,12.0,64.57901000976562,2.19697248983071,4.0
4.0,16.0,73.3666272285657,13.900173202905796,39.0
4.0,14.0,76.63020324707031,17.684001873441225,8.0
4.0,13.0,82.55827077229817,16.7230222796676,24.0
4.0,23.0,131.98184204101562,8.307061508002612,4.0
5.0,23.0,77.74338785807292,15.11374734945729,6.0
5.0,8.0,71.28226089477539,10.274926223875076,16.0
5.0,20.0,79.20153899419876,15.86682859025353,84.0
5.0,16.0,67.47091674804688,6.724314477574752,12.0
5.0,22.0,89.02811117733226,24.801236415797167,34.0
5.0,6.0,68.13837224786931,6.888492596617512,11.0
5.0,14.0,63.453694661458336,3.0087068092444187,6.0
5.0,17.0,96.00951650191327,20.631049872224278,49.0
5.0,18.0,80.77699809827303,22.096263636865643,95.0
5.0,11.0,67.40116664341518,7.348163007336664,14.0
5.0,19.0,80.49976867675781,14.870726225778574,75.0
5.0,10.0,76.67420111762152,9.07330554252034,27.0
5.0,7.0,75.16592280069987,15.257719822897629,24.0
5.0,13.0,68.40527022512336,9.008390927813256,19.0
5.0,21.0,73.5464096069336,10.77730609777032,8.0
5.0,9.0,79.06235885620117,12.700340443883682,16.0
5.0,15.0,76.07759160580842,12.328303978770286,23.0
5.0,12.0,63.9844970703125,0.0,1.0
6.0,6.0,70.21602783203124,10.051357086094335,15.0
6.0,7.0,75.9050537109375,10.20337867520777,10.0
6.0,11.0,112.16236489506092,32.57771606940468,59.0
6.0,16.0,84.40225302206504,14.815763141485203,37.0
6.0,17.0,90.62119663783483,26.92980509833845,35.0
6.0,18.0,76.07399036038306,16.730258824389303,31.0
